Region,Key Apps,Team,Priority,Ticket Type,Number,State,Created,Reason,Age,Ageing Bucket,Backlog With,Week_Reported,Month Name,Year,Week,YearWeek
Global - NA,Maconomy - NA,Local,P3 - Minor,SR,INC10168807,Queued,09/01/2021 7:00,Queued,0.71,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10168280,On Hold,08/01/2021 22:07,Non IBM 3rd Party Engagement,1.08,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10168275,On Hold,08/01/2021 22:04,Customer unavailable 1st Attempt,1.08,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,SAP,Local,P3 - Minor,SER,INC10168263,Queued,08/01/2021 22:09,Queued,1.08,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10168122,Work In Progress,08/01/2021 21:03,Work In Progress,1.12,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10168111,Queued,08/01/2021 20:59,Queued,1.13,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10168082,Queued,08/01/2021 20:46,Queued,1.13,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10168058,On Hold,08/01/2021 20:32,Monitoring,1.14,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10168056,On Hold,08/01/2021 20:31,Awaiting User input,1.14,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,Incident,INC10168042,On Hold,08/01/2021 20:25,Customer Testing,1.15,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10168037,Queued,08/01/2021 20:24,Queued,1.15,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Tango & Condor,Local,P3 - Minor,SR,INC10168022,On Hold,08/01/2021 20:17,Awaiting User input,1.15,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10168014,On Hold,08/01/2021 20:10,Hold for Release Planning,1.16,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167988,Queued,08/01/2021 19:53,Queued,1.17,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P4 - Minimal,SR,INC10167959,Work In Progress,08/01/2021 19:46,Work In Progress,1.18,00-30,With IBM,2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10167930,On Hold,08/01/2021 19:33,Awaiting User input,1.18,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10167927,Queued,08/01/2021 19:34,Queued,1.18,00-30,With IBM,2021-01,Jan,2021,1,202101
