Region,Key Apps,Ticket Type,Team,YearWeek,Number,State_Type,Priority,YearWeek1
APAC,Adept,SR,GD,202101,INC10131300,Resolved,1,202101
APAC,Adept,SR,GD,202101,INC10131304,Resolved,1,202101
APAC,Adept,SR,GD,202101,INC10133673,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10133780,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10133789,Created,1,202101
APAC,Adept,SR,Local,202101,INC10133876,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10133896,Created,1,202101
APAC,Other - APAC,Incident,GD,202101,INC10133932,Created,1,202101
APAC,Adept,SR,GD,202101,INC10133991,Created,1,202101
APAC,Adept,SR,GD,202101,INC10134001,Created,1,202101
APAC,Other - APAC,Incident,GD,202101,INC10134017,Created,1,202101
APAC,Adept,SR,GD,202101,INC10134036,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10134042,Created,1,202101
APAC,Other - APAC,SER,Local,202101,INC10134225,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10134256,Created,1,202101
APAC,Adept,SR,GD,202101,INC10134328,Created,1,202101
APAC,Adept,SR,GD,202101,INC10134562,Created,1,202101
APAC,Other - APAC,Incident,Local,202101,INC10135083,Created,1,202101
APAC,Adept,Incident,Local,202101,INC10135108,Created,1,202101
APAC,Adept,SR,GD,202101,INC10135323,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10135328,Created,1,202101
APAC,Adept,SR,Local,202101,INC10135390,Created,1,202101
APAC,Adept,SR,GD,202101,INC10135577,Created,1,202101
APAC,Other - APAC,Incident,GD,202101,INC10135612,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10135624,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10135641,Created,1,202101
APAC,Adept,SR,Local,202101,INC10135986,Created,1,202101
APAC,Other - APAC,SR,GD,202101,INC10136477,Created,1,202101
APAC,Adept,SER,GD,202101,INC10137503,Created,1,202101
APAC,Adept,SR,GD,202101,INC10138134,Created,1,202101
APAC,Other - APAC,SR,GD,202101,INC10138548,Created,1,202101
APAC,Adept,SR,GD,202101,INC10143102,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10143104,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10143187,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10143247,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10143463,Created,1,202101
APAC,Adept,SR,GD,202101,INC10143579,Created,1,202101
APAC,Adept,SR,GD,202101,INC10143702,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10143889,Created,1,202101
APAC,Other - APAC,SR,Local,202101,INC10143918,Created,1,202101
APAC,Adept,SR,GD,202101,INC10143919,Created,1,202101
APAC,Other - APAC,SR,GD,202101,INC10143970,Created,1,202101
APAC,Adept,SER,Local,202101,INC10144037,Created,1,202101
