Region,Key Apps,Ticket Type,Team,YearWeek,Number,State_Type,Priority,YearWeek1
APAC,Adept,SR,GD,201950,INC8361428,Resolved,1,202001
APAC,Other,SR,GD,201950,INC8362990,Resolved,1,202001
APAC,Other,SR,GD,201950,INC8396918,Created,1,202001
EMEA,Other,SR,Local,201950,INC8384881,Resolved,1,202001
EMEA,Other,Incident,Local,201950,INC8396555,Created,1,202001
EMEA,Other,SR,Local,201950,INC8399722,Created,1,202001
EMEA,SAP,SR,Local,201950,INC8402193,Created,1,202001
EMEA,Other,SR,Local,201950,INC8403836,Created,1,202001
EMEA,Other,SR,Local,201950,INC8406290,Created,1,202001
EMEA,Other,SR,Local,201950,INC8407102,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC7849008,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8157717,Resolved,1,202001
Global - EMEA,Maconomy,SER,GD,201950,INC8278148,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8293086,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8312081,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8314857,Resolved,1,202001
Global - EMEA,Maconomy,SR,Local,201950,INC8332684,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8353015,Resolved,1,202001
Global - EMEA,HR.net,SR,GD,201950,INC8361411,Resolved,1,202001
Global - EMEA,HR.net,SR,Local,201950,INC8368871,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8377206,Resolved,1,202001
Global - EMEA,Maconomy,SR,Local,201950,INC8380040,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8381269,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8385000,Resolved,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8395278,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8396203,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8400408,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8403474,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8407698,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8408313,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8410170,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8412786,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8413488,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8417401,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8418679,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8419002,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8419056,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8419948,Created,1,202001
Global - EMEA,Maconomy,SR,GD,201950,INC8420283,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8287587,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,Local,201950,INC8320150,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8343559,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8351505,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8351814,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8376707,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8381070,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8386986,Resolved,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8395224,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8400678,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8404558,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8404644,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8404833,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8406760,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8412237,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8412251,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8412415,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8414908,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8418938,Created,1,202001
Global - NA,Maconomy (Kantar),SR,GD,201950,INC8419829,Created,1,202001
LATAM,Other,SR,Local,201950,INC8181329,Resolved,1,202001
LATAM,Other,SR,Local,201950,INC8272539,Resolved,1,202001
LATAM,Tango & Condor,SR,Local,201950,INC8306705,Resolved,1,202001
LATAM,Other,SR,Local,201950,INC8332757,Resolved,1,202001
LATAM,Tango & Condor,SR,Local,201950,INC8343091,Resolved,1,202001
LATAM,Other,SR,Local,201950,INC8367110,Resolved,1,202001
LATAM,Other,SR,Local,201950,INC8381060,Resolved,1,202001
LATAM,Other,Incident,Local,201950,INC8395747,Created,1,202001
LATAM,Other,Incident,Local,201950,INC8396603,Created,1,202001
LATAM,Other,SR,Local,201950,INC8399965,Created,1,202001
LATAM,Other,SR,Local,201950,INC8400995,Created,1,202001
LATAM,Other,SR,Local,201950,INC8402073,Created,1,202001
LATAM,Other,SR,Local,201950,INC8402309,Created,1,202001
LATAM,Other,SR,Local,201950,INC8402858,Created,1,202001
LATAM,Other,SR,Local,201950,INC8403690,Created,1,202001
LATAM,Other,SR,Local,201950,INC8408815,Created,1,202001
LATAM,Other,Incident,Local,201950,INC8408881,Created,1,202001
LATAM,Other,SR,Local,201950,INC8414313,Created,1,202001
LATAM,Other,SR,Local,201950,INC8420762,Created,1,202001
LATAM,Other,SR,Local,201950,INC8421393,Created,1,202001
NA.,Other,SR,GD,201950,INC8315536,Resolved,1,202001
NA.,PeopleSoft,SR,GD,201950,INC8335925,Resolved,1,202001
NA.,PeopleSoft,SR,GD,201950,INC8342918,Resolved,1,202001
NA.,SAP,SR,Local,201950,INC8403308,Created,1,202001
NA.,Other,SR,GD,201950,INC8403789,Created,1,202001
NA.,SAP,SR,Local,201950,INC8409032,Created,1,202001
NA.,Other,SR,GD,201950,INC8413624,Created,1,202001
NA.,Other,Incident,Local,201950,INC8420751,Created,1,202001
APAC,Adept,SR,GD,201951,INC8282355,Resolved,1,202001
APAC,Other,SR,GD,201951,INC8289766,Resolved,1,202001
APAC,Adept,SR,GD,201951,INC8300100,Resolved,1,202001
APAC,Adept,SR,GD,201951,INC8423336,Created,1,202001
APAC,Adept,SR,GD,201951,INC8423387,Created,1,202001
EMEA,Other,SR,Local,201951,INC8426034,Created,1,202001
EMEA,Other,SR,Local,201951,INC8426219,Created,1,202001
EMEA,SAP,SR,Local,201951,INC8429746,Created,1,202001
EMEA,Other,SR,Local,201951,INC8434848,Created,1,202001
EMEA,Other,SR,Local,201951,INC8446304,Created,1,202001
EMEA,Other,SR,Local,201951,INC8446345,Created,1,202001
EMEA,Other,SR,Local,201951,INC8447242,Created,1,202001
